题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
稿本、写本、抄本、影抄本、刻本、活字本、套印本、石印本、彩绘本",刊刻时间,刊刻地址,馆藏,馆藏地点（省级单位）,四部分类,子目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷附考证,史10200627,史,唐令狐德棻等撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷附考证,史10200627,史,唐令狐德棻等撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷附考证,史10200627,史,唐令狐德棻等撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷附考证,史10200627,史,唐令狐德棻等撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷附考证,史10200627,史,唐令狐德棻等撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,重刊二十四史本, , ,,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,二十四史本（五省官书局本）,刻本,清,江苏,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,十七史本,,清,,上海图书馆　湖南省博物馆图书馆,上海 湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,二十一史本（北监本）,,清,北京,国家图书馆　山西省文物局,北京 山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,明万历十六年南京国子监刻明清递修本,修本,清,,国家图书馆　天津图书馆　南京图书馆,北京 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,宋刻宋元明递修本,修本,明,,国家图书馆　上海图书馆　天津图书馆　南京图书馆,北京  上海 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周书五十卷,史10200626,史,唐令狐德棻等撰,,宋刻元修本,修本,元,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书经籍志四卷,史10200638,史,唐魏征、长孙无忌等撰,,丛书集成初编本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书经籍志四卷,史10200638,史,唐魏征、长孙无忌等撰,,师石山房丛书本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书经籍志四卷,史10200638,史,唐魏征、长孙无忌等撰,,八史经籍志本,刻本,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书经籍志四卷,史10200638,史,唐魏征、长孙无忌等撰,,清光绪八年成都御风楼刻本,刻本,清,四川,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书地理志三卷附考证,史10200632,史,唐魏征等撰,,历代地理志汇编本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考异一卷,史10200631,史,唐魏征、长孙无忌等撰　清薛寿等考异,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考证,史10200630,史,唐魏征、长孙无忌等撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考证,史10200630,史,唐魏征、长孙无忌等撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考证,史10200630,史,唐魏征、长孙无忌等撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考证,史10200630,史,唐魏征、长孙无忌等撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷附考证,史10200630,史,唐魏征、长孙无忌等撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,重刊二十四史本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,十七史本,,清,,国家图书馆　中山大学图书馆,北京 广东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,明万历二十二至二十三年南京国子监刻明清递修本,修本,清,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,元至顺三年瑞州路儒学刻明修本,修本,明,江西,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,元大德间饶州路儒学刻明正德嘉靖间递修本,修本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,元大德间饶州路儒学刻明正德嘉靖间递修公文纸印本,印本,明,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,元大德间饶州路儒学刻明正德十年重修本,修本,明,,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,宋刻本,刻本,宋,,国家图书馆 上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隋书八十五卷,史10200629,史,唐魏征、长孙无忌等撰,,宋刻递修本,修本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书地理志二卷附考证,史10200527,史,唐太宗李世民撰,,历代地理志汇编本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书载记三十卷,史10200521,史,唐太宗李世民撰,,明锺人杰刻本,刻本,明,,吉林大学图书馆,吉林,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
删补晋书一百三十卷,史10200520,史,唐房玄龄等撰　明蒋之翘删补并辑评,,明崇祯十二年蒋氏家塾刻本,刻本,明,,国家图书馆　中国科学院图书馆　北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200519,史,唐房玄龄等撰　唐何超音义　明锺人杰辑评,,明锺人杰刻本,刻本,明,江苏,天一阁文物保管所,浙江,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷附考证,史10200518,史,唐房玄龄等撰　唐何超音义,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷附考证,史10200518,史,唐房玄龄等撰　唐何超音义,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷附考证,史10200518,史,唐房玄龄等撰　唐何超音义,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷附考证,史10200518,史,唐房玄龄等撰　唐何超音义,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷附考证,史10200518,史,唐房玄龄等撰　唐何超音义,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200517,史,唐房玄龄等撰　唐何超音义,,明吴氏西爽堂刻本,刻本,明,广东,国家图书馆　北京大学图书馆　上海图书馆　山西省文物局,北京 上海 山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200517,史,唐房玄龄等撰　唐何超音义,,明万历六年周若年、丁孟嘉刻二十四年王亮臣重修本,修本,明,,吉林省图书馆,吉林,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200517,史,唐房玄龄等撰　唐何超音义,,明万历六年周若年、丁孟嘉刻本,刻本,明,,国家图书馆　北京大学图书馆　天津图书馆,北京 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,重刊二十四史本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,二十一史本（北监本）,,清,北京,山西省文物局　常州市图书馆,山西 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,元刻明正德十年司礼监嘉靖万历间南京国子监递修本,修本,明,江苏,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,元刻明正德十年司礼监嘉靖间南京国子监递修本,修本,明,江苏,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,元刻明修公文纸印本,印本,明,,复旦大学图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷音义三卷,史10200516,史,唐房玄龄等撰　唐何超音义,,元刻明修本,修本,明,,北京大学图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书佚文一卷,史10200515,史,唐房玄龄等撰　清王仁俊辑,,经籍佚文本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,十七史本,,清,,国家图书馆　上海图书馆　天津图书馆　湖南师范大学图书馆,北京 上海 天津 湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,元刻本,刻本,元,,扬州市图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,宋嘉泰四年至开禧元年秋浦郡斋刻本,刻本,宋,安徽,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,宋刻本,刻本,宋,,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋书一百三十卷,史10200514,史,唐房玄龄等撰,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200125,史,唐李延寿撰　明张溥评点,,明张溥刻宝书堂印本,印本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200125,史,唐李延寿撰　明张溥评点,,明张溥刻丽百堂印本,印本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200125,史,唐李延寿撰　明张溥评点,,明张溥刻本,刻本,明,,天津图书馆,天津,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷附考证,史10200123,史,唐李延寿撰,,四部备要本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷附考证,史10200123,史,唐李延寿撰,,二十五史本,,,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷附考证,史10200123,史,唐李延寿撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷附考证,史10200123,史,唐李延寿撰,,四库全书本,,清,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷附考证,史10200123,史,唐李延寿撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史二十一卷,史10200122,史,唐李延寿撰,,明抄本,抄本,明,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,清康熙二十五年刻本,刻本,清,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,十七史本,,清,,国家图书馆　上海图书馆　南京图书馆　湖南师范大学图书馆,北京 上海 江苏 湖南,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,二十一史本（北监本）,,清,北京,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,明万历十六至十九年南京国子监刻明清递修本,修本,清,,国家图书馆　北京大学图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,元大德十年刻明嘉靖间递修本,修本,明,,国家图书馆　上海图书馆　南京图书馆,北京 上海 江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,元大德十年刻明嘉靖元年修本,修本,明,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,元大德十年刻本,刻本,元,,四川省图书,四川,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南史八十卷,史10200121,史,唐李延寿撰,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史佚文一卷,史10200132,史,唐李延寿撰　清王仁俊辑,,经籍佚文本, , ,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷附考证,史10200131,史,唐李延寿撰,,四部备要本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷附考证,史10200131,史,唐李延寿撰,,二十五史本,,,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷附考证,史10200131,史,唐李延寿撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷附考证,史10200131,史,唐李延寿撰,,四库全书本,,清,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷附考证,史10200131,史,唐李延寿撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,光绪二十八年文澜书局刻本,刻本,清,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,明抄本（存卷七十一至七十二、七十九至八十二）,抄本,明,,天津图书馆,天津,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,十七史本,,清,,国家图书馆　上海图书馆　湖南师范大学图书馆,北京 上海 湖南,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北史一百卷,史10200130,史,唐李延寿撰,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
